Title,Type,Priority,Description,Acceptance Criteria
Bootstrap pnpm monorepo,Feature,P0,Create workspace structure and root configs,"pnpm install/build/test work"
Create shared types,Feature,P0,Define MarketplaceId KeywordSuggestion and adapter contract,"Types compile and exported"
Implement adapter router,Feature,P0,Route supported marketplace hostnames to adapters,"Router tests pass"
Implement keyword expansion,Feature,P0,Generate original prefix suffix and numeric expansions,"Expansion tests pass"
Implement Turkish-aware normalization,Feature,P0,Normalize whitespace case and Turkish characters,"Normalization tests pass"
Implement deduplication,Feature,P0,Dedupe keyword suggestions safely,"Dedupe tests pass"
Implement word frequency,Feature,P1,Analyze repeated terms across keywords,"Word frequency tests pass"
Create MV3 extension shell,Feature,P0,Build loadable Chrome extension,"Unpacked extension loads"
Inject floating panel,Feature,P0,Show panel on supported sites,"Panel appears only on supported domains"
Implement Trendyol adapter,Feature,P0,Find search input and visible suggestions,"Graceful fallback works"
Implement Hepsiburada adapter,Feature,P0,Find search input and visible suggestions,"Graceful fallback works"
Implement n11 adapter,Feature,P0,Find search input and visible suggestions,"Graceful fallback works"
Implement Amazon TR adapter,Feature,P0,Find search input and visible suggestions,"Graceful fallback works"
Add collection orchestration,Feature,P0,Run expansions with throttle and collect suggestions,"No aggressive behavior"
Add CSV export,Feature,P0,Export keyword table to CSV,"Turkish characters work"
Add XLSX export,Feature,P0,Export keyword table to XLSX,"Excel opens correctly"
Add marketplace comparison,Feature,P1,Show keyword coverage across marketplaces,"Comparison view works"
Add backend skeleton,Feature,P1,Create project/run/keyword API endpoints,"Zod validation works"
Add scoring placeholder,Feature,P1,Compute local opportunity/confidence scores,"Scoring tests pass"
Add privacy docs,Documentation,P0,Document data boundaries,"Privacy doc included"
Add permissions docs,Documentation,P0,Explain Chrome permissions,"Permissions doc included"
Prepare release candidate,Release,P0,Build test docs and QA,"Release checklist completed"
